message_id,action,message_type,reason,confidence,evidence_message_ids
msg_066,notify,promotion,Time-sensitive content with high user relevance. Confidence 0.64.,0.64,none
msg_049,notify,event,Time-sensitive content with high user relevance. Confidence 0.73.,0.73,none
msg_015,mute,scam,Risky or repetitive content with weak user value. Confidence 0.59.,0.59,"message_0085;message_0199"
msg_051,mute,spam,Risky or repetitive content with weak user value. Confidence 0.71.,0.71,none
msg_097,digest,event,Useful message that can be shown later. Confidence 0.65.,0.65,none
msg_089,digest,event,Useful message that can be shown later. Confidence 0.68.,0.68,none
msg_053,mute,spam,Risky or repetitive content with weak user value. Confidence 0.58.,0.58,message_0161
msg_059,notify,event,Time-sensitive content with high user relevance. Confidence 0.76.,0.76,"message_0174;message_0214;message_0196"
msg_024,mute,spam,Risky or repetitive content with weak user value. Confidence 0.71.,0.71,none
msg_072,mute,scam,Risky or repetitive content with weak user value. Confidence 0.59.,0.59,"message_0085;message_0199"
msg_036,digest,payment,Useful message that can be shown later. Confidence 0.54.,0.54,none
msg_076,mute,scam,Risky or repetitive content with weak user value. Confidence 0.73.,0.73,none
msg_055,notify,urgent,Time-sensitive content with high user relevance. Confidence 0.75.,0.75,"message_0166;message_0165"
msg_102,digest,personal,Useful message that can be shown later. Confidence 0.53.,0.53,none
msg_080,digest,event,Useful message that can be shown later. Confidence 0.65.,0.65,"message_0130;message_0190;message_0142"
msg_093,mute,scam,Risky or repetitive content with weak user value. Confidence 0.72.,0.72,none
msg_034,mute,spam,Risky or repetitive content with weak user value. Confidence 0.62.,0.62,"message_0013;message_0039;message_0241"
msg_035,digest,payment,Useful message that can be shown later. Confidence 0.62.,0.62,none
msg_101,notify,personal,Time-sensitive content with high user relevance. Confidence 0.54.,0.54,none
msg_041,notify,event,Time-sensitive content with high user relevance. Confidence 0.75.,0.75,none
msg_011,mute,spam,Risky or repetitive content with weak user value. Confidence 0.64.,0.64,"message_0077;message_0171;message_0123"
msg_110,digest,event,Useful message that can be shown later. Confidence 0.56.,0.56,none
msg_095,mute,scam,Risky or repetitive content with weak user value. Confidence 0.59.,0.59,none
msg_074,mute,spam,Risky or repetitive content with weak user value. Confidence 0.65.,0.65,message_0203
msg_073,mute,spam,Risky or repetitive content with weak user value. Confidence 0.67.,0.67,"message_0087;message_0183;message_0201"
msg_054,notify,payment,Time-sensitive content with high user relevance. Confidence 0.64.,0.64,message_0163
msg_068,digest,personal,Useful message that can be shown later. Confidence 0.63.,0.63,message_0191
msg_100,digest,payment,Useful message that can be shown later. Confidence 0.63.,0.63,none
msg_062,notify,event,Trusted and relevant message that deserves immediate attention. Confidence 0.56.,0.56,"message_0029;message_0044"
msg_096,digest,personal,Useful message that can be shown later. Confidence 0.65.,0.65,none
msg_043,mute,spam,Risky or repetitive content with weak user value. Confidence 0.59.,0.59,"message_0067;message_0097;message_0030"
msg_077,notify,event,Trusted and relevant message that deserves immediate attention. Confidence 0.69.,0.69,"message_0255;message_0133;message_0209"
msg_081,notify,event,Time-sensitive content with high user relevance. Confidence 0.73.,0.73,message_0217
msg_025,notify,payment,Time-sensitive content with high user relevance. Confidence 0.76.,0.76,none
msg_084,mute,scam,Risky or repetitive content with weak user value. Confidence 0.56.,0.56,none
msg_022,notify,payment,Time-sensitive content with high user relevance. Confidence 0.72.,0.72,"message_0099;message_0100"
